Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\liuwei\20230223\2023022-LW-S1.mzML	D:\liuwei\20230223\2023022-LW-S2.mzML	D:\liuwei\20230223\2023022-LW-S3.mzML	D:\liuwei\20230223\2023022-LW-SP1.mzML	D:\liuwei\20230223\2023022-LW-SP2.mzML	D:\liuwei\20230223\2023022-LW-SP3.mzML
P49915	P49915	GUAA_HUMAN	GMPS	GMP synthase [glutamine-hydrolyzing]	2.01822e+06	1.99126e+06	2.03356e+06	2.53115e+06	2.42963e+06	2.48556e+06
P49916	P49916	DNLI3_HUMAN	LIG3	DNA ligase 3	62186.3	61732.3	54258.3	54197.4	51568.7	52937.5
P49959	P49959	MRE11_HUMAN	MRE11	Double-strand break repair protein MRE11	114054	126262	126724	105849	122600	125798
P50213	P50213	IDH3A_HUMAN	IDH3A	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	418491	441828	471126	407305	421261	449246
P50219	P50219	MNX1_HUMAN	MNX1	Motor neuron and pancreas homeobox protein 1	115346	81151	100557	127457	130368	143249
P50238	P50238	CRIP1_HUMAN	CRIP1	Cysteine-rich protein 1	732735	655436	702677	836944	900893	979810
P50336	P50336	PPOX_HUMAN	PPOX	Protoporphyrinogen oxidase	50663.2	52615.1	47868.2	41247.5	66210.3	50267.5
P50395	P50395	GDIB_HUMAN	GDI2	Rab GDP dissociation inhibitor beta	94005.7	77005.6	71893.4	67114.8	68227.8	87015.5
P50402	P50402	EMD_HUMAN	EMD	Emerin	318734	345041	332024	231768	232411	251459
P50416	P50416	CPT1A_HUMAN	CPT1A	Carnitine O-palmitoyltransferase 1, liver isoform	252106	259719	244425	207619	192835	219981
P50454	P50454	SERPH_HUMAN	SERPINH1	Serpin H1	494987	475031	421004	568314	531762	576089
P50502	Q8IZP2;P50502	F10A1_HUMAN	ST13	Hsc70-interacting protein	615980	577591	532880	504140	579357	615720
P50542	P50542	PEX5_HUMAN	PEX5	Peroxisomal targeting signal 1 receptor		41917.5	36232.3	33921.4	35958.4	26810
P50552	P50552	VASP_HUMAN	VASP	Vasodilator-stimulated phosphoprotein	117197	82765	101788	83162.3	109381	80550.9
P50570	P50570;Q9UQ16	DYN2_HUMAN	DNM2	Dynamin-2	434960	456181	396330	352438	381312	384442
P50583	P50583	AP4A_HUMAN	NUDT2	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]	83284.1	94174.2	93908.8	109920	109590	90481.8
P50613	P50613	CDK7_HUMAN	CDK7	Cyclin-dependent kinase 7	92661.2	85529.7	89933.3	112720	110225	91117.7
P50616	P50616	TOB1_HUMAN	TOB1	Protein Tob1		28589		15619.8		27372.5
P50747	P50747	BPL1_HUMAN	HLCS	Biotin--protein ligase	49926.4	54862.4	58437.5	78268.7	57307	56590.5
P50748	P50748	KNTC1_HUMAN	KNTC1	Kinetochore-associated protein 1	138001	151046	137083	94785.6	99836.3	106654
P50750	P50750	CDK9_HUMAN	CDK9	Cyclin-dependent kinase 9	435983	409757	431454	375823	368642	369543
P50851	P50851	LRBA_HUMAN	LRBA	Lipopolysaccharide-responsive and beige-like anchor protein	168711	161226	171796	170001	176093	170757
P50897	P50897	PPT1_HUMAN	PPT1	Palmitoyl-protein thioesterase 1	53575.6	58452.7	59170.1	48331.7	43416.5	50997.4
P50914	P50914	RL14_HUMAN	RPL14	60S ribosomal protein L14	961763	1.03965e+06	1.09175e+06	959078	986543	1.07151e+06
P50990	P50990	TCPQ_HUMAN	CCT8	T-complex protein 1 subunit theta	6.9685e+06	6.80546e+06	6.90901e+06	8.86616e+06	8.87446e+06	8.5394e+06
P50991	P50991	TCPD_HUMAN	CCT4	T-complex protein 1 subunit delta	5.91178e+06	5.73017e+06	5.49931e+06	7.13339e+06	6.91552e+06	6.63688e+06
P50995	P50995	ANX11_HUMAN	ANXA11	Annexin A11	52490.4	67147	71123	83745.7	91540.7	76850.3
P51114	P51114	FXR1_HUMAN	FXR1	Fragile X mental retardation syndrome-related protein 1	389268	405308	399778	324672	342573	328742
P51116	P51116	FXR2_HUMAN	FXR2	Fragile X mental retardation syndrome-related protein 2	63564	68793.3	61944.6	42113.8	60047.9	48199.8
P51148	P51148;P61020;P20339	RAB5C_HUMAN	RAB5C	Ras-related protein Rab-5C	387682	396453	341599	365355	407911	402021
P51149	P51149	RAB7A_HUMAN	RAB7A	Ras-related protein Rab-7a	113634	114274	109150	86903	79365.6	103624
P51178	P51178	PLCD1_HUMAN	PLCD1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1	49231.8	48628	45830.4	55255.5	65794.2	62039.7
P51397	P51397	DAP1_HUMAN	DAP	Death-associated protein 1	745820	799933	705422	814701	875513	882329
P51398	P51398	RT29_HUMAN	DAP3	28S ribosomal protein S29, mitochondrial	71569	112512	99656.8	69120.6	68383.2	71901.4
P51531	P51531	SMCA2_HUMAN	SMARCA2	Probable global transcription activator SNF2L2	544936	569073	556361	592311	633622	613168
P51532	P51532;P51531	SMCA4_HUMAN	SMARCA4	Transcription activator BRG1	1.02912e+06	1.00511e+06	1.06286e+06	1.01543e+06	1.0443e+06	1.06257e+06
P51553	P51553	IDH3G_HUMAN	IDH3G	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial	423401	378470	460939	437957	346727	433452
P51570	P51570	GALK1_HUMAN	GALK1	Galactokinase	488359	480739	506223	422780	408481	405541
P51571	P51571	SSRD_HUMAN	SSR4	Translocon-associated protein subunit delta	408957	455356	422495	441133	378255	441372
P51572	P51572	BAP31_HUMAN	BCAP31	B-cell receptor-associated protein 31	55253	60859.8	54170.6	55793.8	93480.9	65306.5
P51608	P51608	MECP2_HUMAN	MECP2	Methyl-CpG-binding protein 2	562556	588271	595791	727841	682347	686373
P51610	P51610	HCFC1_HUMAN	HCFC1	Host cell factor 1	462476	471371	481886	505701	570167	545955
P51648	P51648	AL3A2_HUMAN	ALDH3A2	Aldehyde dehydrogenase family 3 member A2	91890	97981.8	76165.7	86360.2	51994	78657.3
P51659	P51659	DHB4_HUMAN	HSD17B4	Peroxisomal multifunctional enzyme type 2	124229	114088	116131	101425	117043	108332
P51665	P51665	PSMD7_HUMAN	PSMD7	26S proteasome non-ATPase regulatory subunit 7	263430	202022	217116	266031	207247	248278
P51688	P51688	SPHM_HUMAN	SGSH	N-sulphoglucosamine sulphohydrolase	91991	67901.6	105894	53702.2	35473.8	59423
P51692	P51692	STA5B_HUMAN	STAT5B	Signal transducer and activator of transcription 5B	296190	298392	313590	384280	376444	380436
P51784	P51784	UBP11_HUMAN	USP11	Ubiquitin carboxyl-terminal hydrolase 11	54047.4	80818.1	77832.8	58811.8	70721.6	70079.8
P51798	P51798	CLCN7_HUMAN	CLCN7	H(+)/Cl(-) exchange transporter 7	56209.4	42697.9	51790.8	22277.3	30467.7	37420.7
P51808	P51808	DYLT3_HUMAN	DYNLT3	Dynein light chain Tctex-type 3	197310	206336	181687	251102	266125	253882
P51812	P51812	KS6A3_HUMAN	RPS6KA3	Ribosomal protein S6 kinase alpha-3	170232	199017	171164	174292	169652	172874
P51825	P51825	AFF1_HUMAN	AFF1	AF4/FMR2 family member 1	56613	68630	54113.4	42559.7	61204.2	58995.4
P51858	P51858	HDGF_HUMAN	HDGF	Hepatoma-derived growth factor	129935	128198	117014	156961	188319	174863
P51911	P51911	CNN1_HUMAN	CNN1	Calponin-1	56925	58393.1			51150.5	70021.8
P51946	P51946	CCNH_HUMAN	CCNH	Cyclin-H	55873.6	50626	33927.4	49443.1	54829.4	61893.9
P51948	P51948	MAT1_HUMAN	MNAT1	CDK-activating kinase assembly factor MAT1	18892.8	12693.5			12712.2	20166.5
P51970	P51970	NDUA8_HUMAN	NDUFA8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	131066	144179	133245	121949	107762	124091
P51991	P51991	ROA3_HUMAN	HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3	184851	186621	185094	185480	228262	206340
P52209	P52209	6PGD_HUMAN	PGD	6-phosphogluconate dehydrogenase, decarboxylating	167723	169941	177329	184594	187844	185168
P52272	P52272	HNRPM_HUMAN	HNRNPM	Heterogeneous nuclear ribonucleoprotein M	677653	681536	758248	655812	621775	616363
P52292	P52292	IMA1_HUMAN	KPNA2	Importin subunit alpha-1	425935	454719	473240	302294	280762	287086
P52294	P52294;O15131	IMA5_HUMAN	KPNA1	Importin subunit alpha-5	139429	164405	144394	110289	125335	121298
P52298	P52298	NCBP2_HUMAN	NCBP2	Nuclear cap-binding protein subunit 2	74440.7	58030.1	67719.7	72016.6	66254	67663
P52434	P52434	RPAB3_HUMAN	POLR2H	DNA-directed RNA polymerases I, II, and III subunit RPABC3	100797	129544	109132	83833.1	104289	112262
P52564	P52564	MP2K6_HUMAN	MAP2K6	Dual specificity mitogen-activated protein kinase kinase 6	78491.8	39076.2	55886.3		58913.7	70833.1
P52565	P52565	GDIR1_HUMAN	ARHGDIA	Rho GDP-dissociation inhibitor 1	39329.2	35058.7	48714.4	35460.4	44393.3	44104.4
P52594	P52594	AGFG1_HUMAN	AGFG1	Arf-GAP domain and FG repeat-containing protein 1	37813.2		21885.5	8657.44		31737.8
P52597	P52597	HNRPF_HUMAN	HNRNPF	Heterogeneous nuclear ribonucleoprotein F	1.1665e+06	1.29773e+06	1.19097e+06	957869	870678	846524
P52655	P52655	TF2AA_HUMAN	GTF2A1	Transcription initiation factor IIA subunit 1	1.21937e+06	1.1452e+06	1.32263e+06	1.681e+06	1.54942e+06	1.84892e+06
P52657	P52657	T2AG_HUMAN	GTF2A2	Transcription initiation factor IIA subunit 2	1.72872e+06	2.23063e+06	2.11652e+06	2.57731e+06	3.74876e+06	3.18047e+06
P52701	P52701	MSH6_HUMAN	MSH6	DNA mismatch repair protein Msh6	321775	326337	333861	231427	239664	263294
P52732	P52732	KIF11_HUMAN	KIF11	Kinesin-like protein KIF11	148363	120891	139530	143835	139730	152666
P52735	P52735	VAV2_HUMAN	VAV2	Guanine nucleotide exchange factor VAV2	54835.4	74352.3	57912.6	41445.3	55641.2	63783.4
P52739	P52739	ZN131_HUMAN	ZNF131	Zinc finger protein 131	45630.1	65225	47891.9	30201.4	58464.3	40180.7
P52747	P52747	ZN143_HUMAN	ZNF143	Zinc finger protein 143	574241	554091	571868	637017	673222	732487
P52756	P52756	RBM5_HUMAN	RBM5	RNA-binding protein 5		20081.2		19030.7		
P52789	P52789	HXK2_HUMAN	HK2	Hexokinase-2	133482	134816	140663	131728	113207	135087
P52815	P52815	RM12_HUMAN	MRPL12	39S ribosomal protein L12, mitochondrial	123062	120190	110865	109602	120208	126109
P52888	P52888	THOP1_HUMAN	THOP1	Thimet oligopeptidase	33282.2	25643.2	25631.9	40420.7	33466.6	15914.4
P52907	P52907	CAZA1_HUMAN	CAPZA1	F-actin-capping protein subunit alpha-1	667306	584900	404409	566598	554093	538109
P52943	P52943	CRIP2_HUMAN	CRIP2	Cysteine-rich protein 2	69135	72583.2	52773.1	88471.2	84094.8	69974.8
P52948	P52948	NUP98_HUMAN	NUP98	Nuclear pore complex protein Nup98-Nup96	975002	1.01105e+06	1.07164e+06	1.00867e+06	936783	970529
P53004	P53004	BIEA_HUMAN	BLVRA	Biliverdin reductase A	67332.6	70413.1	73301.5	77045.2	108338	81619.8
P53007	P53007	TXTP_HUMAN	SLC25A1	Tricarboxylate transport protein, mitochondrial	453283	492908	443965	369879	397013	365278
P53365	P53365	ARFP2_HUMAN	ARFIP2	Arfaptin-2	38552.1		40990.4	26333.8	27720.9	33814.7
P53384	P53384	NUBP1_HUMAN	NUBP1	Cytosolic Fe-S cluster assembly factor NUBP1	103587	147671	168851	157835	154196	166327
P53396	P53396	ACLY_HUMAN	ACLY	ATP-citrate synthase	2.25811e+06	2.21941e+06	2.31675e+06	3.05438e+06	2.94102e+06	2.86313e+06
P53597	P53597	SUCA_HUMAN	SUCLG1	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	360939	346281	364311	391714	401267	351925
P53602	P53602	MVD1_HUMAN	MVD	Diphosphomevalonate decarboxylase	13290.3	18031.6	7970.04	18264.1	26801.4	9287.28
P53611	P53611	PGTB2_HUMAN	RABGGTB	Geranylgeranyl transferase type-2 subunit beta	104681	84311.1	92585.2	100696	118683	99204.8
P53618	P53618	COPB_HUMAN	COPB1	Coatomer subunit beta	440850	500942	471408	392958	393923	407984
P53621	P53621	COPA_HUMAN	COPA	Coatomer subunit alpha	860773	900144	892162	701396	672718	695619
P53634	P53634	CATC_HUMAN	CTSC	Dipeptidyl peptidase 1	2.62462e+06	2.54618e+06	2.78393e+06	3.6558e+06	3.27188e+06	3.41861e+06
P53667	P53667	LIMK1_HUMAN	LIMK1	LIM domain kinase 1	41787.8	27681.5	25424.5	22217.1	26915.5	31743.8
P53680	P53680	AP2S1_HUMAN	AP2S1	AP-2 complex subunit sigma	128464	165951	157938	132804	133992	143632
P53701	P53701	CCHL_HUMAN	HCCS	Cytochrome c-type heme lyase	102207	83701.9	114848	105198	103782	102822
P53985	P53985	MOT1_HUMAN	SLC16A1	Monocarboxylate transporter 1	222904	238695	257133	161475	168320	213378
P53992	P53992	SC24C_HUMAN	SEC24C	Protein transport protein Sec24C	343552	350410	314285	294148	287610	279371
P53999	P53999	TCP4_HUMAN	SUB1	Activated RNA polymerase II transcriptional coactivator p15	107854	96608.7	83416.2	90299.9	101810	83408.1
P54105	P54105	ICLN_HUMAN	CLNS1A	Methylosome subunit pICln	704873	722564	676326	650509	664099	695813
P54132	P54132	BLM_HUMAN	BLM	Bloom syndrome protein	174341	166180	156887	117115	123075	117788
P54136	P54136	SYRC_HUMAN	RARS1	Arginine--tRNA ligase, cytoplasmic	875009	882958	867651	871901	866641	852349
P54198	P54198	HIRA_HUMAN	HIRA	Protein HIRA	55986.7	53180.1	60835.9	39333.9	48673.9	48611.1
P54253	P54253	ATX1_HUMAN	ATXN1	Ataxin-1	146751	146337	136795	174619	160305	177502
P54259	P54259	ATN1_HUMAN	ATN1	Atrophin-1	290181	323228	291503	363161	387980	453959
P54277	P54277	PMS1_HUMAN	PMS1	PMS1 protein homolog 1	34434.7	47058.4	35886.6	32962.5	34872	31809.3
P54278	P54278	PMS2_HUMAN	PMS2	Mismatch repair endonuclease PMS2	150157	150449	134647	136532	135786	140809
P54284	P54284	CACB3_HUMAN	CACNB3	Voltage-dependent L-type calcium channel subunit beta-3	21534	22637.2	24218	30694.4	26637.5	34245.9
P54577	P54577	SYYC_HUMAN	YARS1	Tyrosine--tRNA ligase, cytoplasmic	115224	125291	129356	149250	133271	142156
P54578	P54578	UBP14_HUMAN	USP14	Ubiquitin carboxyl-terminal hydrolase 14	66288.8	55680.8	60531	53256.8	64766.6	58566.5
P54619	Q9UGJ0;P54619	AAKG1_HUMAN	PRKAG1	5'-AMP-activated protein kinase subunit gamma-1	302549	342730	319357	302699	315684	328967
P54709	P54709	AT1B3_HUMAN	ATP1B3	Sodium/potassium-transporting ATPase subunit beta-3	114127	111442	103405	75517.6	127817	93228
P54727	P54727;P54725	RD23B_HUMAN	RAD23B	UV excision repair protein RAD23 homolog B	142178	133886	137818	146298	138364	146557
P54819	P54819	KAD2_HUMAN	AK2	Adenylate kinase 2, mitochondrial	141455	137374	145570	170534	155299	152445
P54886	P54886	P5CS_HUMAN	ALDH18A1	Delta-1-pyrroline-5-carboxylate synthase	1.75096e+06	1.73898e+06	1.7229e+06	1.76389e+06	1.69209e+06	1.67925e+06
P55010	P55010	IF5_HUMAN	EIF5	Eukaryotic translation initiation factor 5	52546	32021.7	43422.5	51141.4	33002.5	56221.7
P55011	P55011	S12A2_HUMAN	SLC12A2	Solute carrier family 12 member 2	288274	267162	276902	278135	304323	288102
P55036	P55036	PSMD4_HUMAN	PSMD4	26S proteasome non-ATPase regulatory subunit 4	134024	123568	126886	119992	115626	136698
P55039	P55039	DRG2_HUMAN	DRG2	Developmentally-regulated GTP-binding protein 2	75519	89637.8		90083.2	88792.7	91325.1
P55060	P55060	XPO2_HUMAN	CSE1L	Exportin-2	626067	648023	642065	496783	514368	535928
P55072	P55072	TERA_HUMAN	VCP	Transitional endoplasmic reticulum ATPase	1.10575e+06	1.0613e+06	1.04983e+06	1.13542e+06	1.07553e+06	1.13289e+06
P55081	P55081	MFAP1_HUMAN	MFAP1	Microfibrillar-associated protein 1	296063	307313	327418	218843	230451	220007
P55084	P55084	ECHB_HUMAN	HADHB	Trifunctional enzyme subunit beta, mitochondrial	246170	263706	280484	258570	232525	220004
P55145	P55145	MANF_HUMAN	MANF	Mesencephalic astrocyte-derived neurotrophic factor	34873.1	40156.4	53267.3	45498.2	34220.7	45263.1
P55196	P55196	AFAD_HUMAN	AFDN	Afadin	78811.5	76684.5	59818.6	60335.3	54984.8	65628
P55197	P55197	AF10_HUMAN	MLLT10	Protein AF-10	35268.6	27315.7	39968.6	20198.2	18152.4	17173.7
P55198	P55198	AF17_HUMAN	MLLT6	Protein AF-17	114486	115027	124146	113714	147263	141869
P55201	P55201	BRPF1_HUMAN	BRPF1	Peregrin	127508	104284	135025	93634.8	98977.1	91934
P55209	P55209	NP1L1_HUMAN	NAP1L1	Nucleosome assembly protein 1-like 1	167708	166051	171273	192885	189633	159247
P55210	P55210	CASP7_HUMAN	CASP7	Caspase-7	80073.2	50200	84853.5	55610.2	108424	50141.2
P55212	P55212	CASP6_HUMAN	CASP6	Caspase-6	93442.7	100337	96538	100572	138512	96556.9
P55263	P55263	ADK_HUMAN	ADK	Adenosine kinase	84054.9		89955.2	70159	80030	
P55265	P55265	DSRAD_HUMAN	ADAR	Double-stranded RNA-specific adenosine deaminase	361550	377176	380423	306437	314585	295926
P55268	P55268	LAMB2_HUMAN	LAMB2	Laminin subunit beta-2	301476	316085	334325	404082	402003	386383
P55317	P55317	FOXA1_HUMAN	FOXA1	Hepatocyte nuclear factor 3-alpha	15543.7	16222.5	19331.2	24165.2	23109.3	32432.1
P55327	P55327	TPD52_HUMAN	TPD52	Tumor protein D52	108630	122807	120425	157252	154127	149291
P55347	P55347	PKNX1_HUMAN	PKNOX1	Homeobox protein PKNOX1	24443.6			16938.9		33236.6
P55735	P55735	SEC13_HUMAN	SEC13	Protein SEC13 homolog	756092	787529	720906	844273	865194	844405
P55769	P55769	NH2L1_HUMAN	SNU13	NHP2-like protein 1	186827	224499	185821	159913	202096	164233
P55786	A6NEC2;P55786	PSA_HUMAN	NPEPPS	Puromycin-sensitive aminopeptidase	406871	423697	411838	349602	350373	373798
P55789	P55789	ALR_HUMAN	GFER	FAD-linked sulfhydryl oxidase ALR	32192.1	22236.9	40729.8	48469.3	41402.9	56444.6
P55795	P55795	HNRH2_HUMAN	HNRNPH2	Heterogeneous nuclear ribonucleoprotein H2	759694	653727	793616	300419	287118	331816
P55809	P55809;Q9BYC2	SCOT1_HUMAN	OXCT1	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	100760	94058.8	96279.9	98200.3	98980.1	103358
P55854;P61956;Q6EEV6	P61956;P55854;Q6EEV6	SUMO2_HUMAN;SUMO3_HUMAN;SUMO4_HUMAN	SUMO2;SUMO3;SUMO4	Small ubiquitin-related modifier 3	18949.2	22139.4	18341.7			16659.6
P55884	P55884	EIF3B_HUMAN	EIF3B	Eukaryotic translation initiation factor 3 subunit B	218701	206895	200415	232376	233995	245169
P56134	P56134	ATPK_HUMAN	ATP5MF	ATP synthase subunit f, mitochondrial	1.54064e+06	2.0325e+06	1.02013e+06	979838	1.42662e+06	1.23638e+06
P56178;Q07687	Q07687;P56178	DLX2_HUMAN;DLX5_HUMAN	DLX2;DLX5	Homeobox protein DLX-5	64337.7	88740.9	87467.3	107532	88625.1	60041.6
P56180	P56180	TPTE_HUMAN	TPTE	Putative tyrosine-protein phosphatase TPTE	51870.4	31263.2			28855.3	17961.6
P56192	P56192	SYMC_HUMAN	MARS1	Methionine--tRNA ligase, cytoplasmic	460867	464012	422275	394720	387126	370470
P56199	P56199	ITA1_HUMAN	ITGA1	Integrin alpha-1	25466.7	21433.9	18411.7	18405.5	28003.7	29660.3
P56270	P56270	MAZ_HUMAN	MAZ	Myc-associated zinc finger protein	111572	116956	109143	132344	132084	102946
P56278	P56278	MTCP1_HUMAN	MTCP1	Protein p13 MTCP-1	24937.1	24418.5	45142.2	46914.3	46441.9	19808.7
P56282	P56282	DPOE2_HUMAN	POLE2	DNA polymerase epsilon subunit 2	172440	220883	99934.1	198133	110629	190374
P56378	P56378	ATP68_HUMAN	ATP5MPL	ATP synthase subunit ATP5MPL, mitochondrial	61546.8	38470.8	34446.8	25068.5	68050.2	31783.3
P56381;Q5VTU8	Q5VTU8;P56381	AT5EL_HUMAN;ATP5E_HUMAN	ATP5F1E;ATP5F1EP2	ATP synthase subunit epsilon, mitochondrial	196177	104691	248348	193252	218669	222292
P56385	P56385	ATP5I_HUMAN	ATP5ME	ATP synthase subunit e, mitochondrial	164853	200012	161752	148290	187329	162815
P56524	P56524	HDAC4_HUMAN	HDAC4	Histone deacetylase 4	203405	192880	177113	213681	170520	186765
P56537	P56537	IF6_HUMAN	EIF6	Eukaryotic translation initiation factor 6	108760	144840	126532	134495	133969	114493
P56545	P56545;Q13363	CTBP2_HUMAN	CTBP2	C-terminal-binding protein 2	1.80559e+06	1.87321e+06	1.90746e+06	1.97306e+06	1.99912e+06	1.94618e+06
P56556	P56556	NDUA6_HUMAN	NDUFA6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	88701.8	97175	89394.3	82674.1	66391	74238.3
P56945	P56945	BCAR1_HUMAN	BCAR1	Breast cancer anti-estrogen resistance protein 1	121501	108416	125179	85659	111461	99726.3
P57076	P57076	CF298_HUMAN	CFAP298	Cilia- and flagella-associated protein 298	28631.3	34052.7	69167.4	42457.5	34661.2	29057.8
P57078	P57078	RIPK4_HUMAN	RIPK4	Receptor-interacting serine/threonine-protein kinase 4		31653.4	15362.1	27081		
P57081	P57081	WDR4_HUMAN	WDR4	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4	147117	126331	141127	155988	154602	159767
P57088	P57088	TMM33_HUMAN	TMEM33	Transmembrane protein 33	359976	332723	278951	294809	264986	246456
P57678	P57678	GEMI4_HUMAN	GEMIN4	Gem-associated protein 4	150626	170276	156521	98957.5	92318.7	100074
P57740	P57740	NU107_HUMAN	NUP107	Nuclear pore complex protein Nup107	366074	381383	422233	273658	282437	325784
P57772	P57772	SELB_HUMAN	EEFSEC	Selenocysteine-specific elongation factor	751960	699404	700676	895517	890488	864528
P58012	P58012	FOXL2_HUMAN	FOXL2	Forkhead box protein L2	153862	169600	148477	164296	154165	169839
P58107	P58107	EPIPL_HUMAN	EPPK1	Epiplakin	43229.6	30848.1	47275.6	45088.4	38451.7	35498.8
P58546	P58546	MTPN_HUMAN	MTPN	Myotrophin	21499.9	22805.6	18134.6	40559.7	45535.2	44293
P58557	P58557	YBEY_HUMAN	YBEY	Endoribonuclease YbeY		35966.9		19472.6		40227.1
P59998	P59998	ARPC4_HUMAN	ARPC4	Actin-related protein 2/3 complex subunit 4	195853	179879	142279	176862	164667	110034
P60174	P60174	TPIS_HUMAN	TPI1	Triosephosphate isomerase	169021	186812	158450	144004	173675	158148
P60228	P60228	EIF3E_HUMAN	EIF3E	Eukaryotic translation initiation factor 3 subunit E	131472	153531	169825	150985	146200	165766
P60468	P60468	SC61B_HUMAN	SEC61B	Protein transport protein Sec61 subunit beta	99115	103034	118359	107915	95650.7	107958
P60510	P60510	PP4C_HUMAN	PPP4C	Serine/threonine-protein phosphatase 4 catalytic subunit	72667.9	54757.8	91376.5	74891.4	66223.1	70402.5
P60602	P60602	ROMO1_HUMAN	ROMO1	Reactive oxygen species modulator 1	37901.8	66312.2	45261.7	36213.5	36781.8	41964.6
P60604	P60604	UB2G2_HUMAN	UBE2G2	Ubiquitin-conjugating enzyme E2 G2		35486.2	37589.3	33418.9	20803.2	14965.3
P60660	P60660	MYL6_HUMAN	MYL6	Myosin light polypeptide 6	615665	682283	763453	602985	657251	650610
P60709;P63261	P63261;P60709	ACTB_HUMAN;ACTG_HUMAN	ACTB;ACTG1	Actin, cytoplasmic 1	3.90271e+06	3.9541e+06	4.16446e+06	5.04845e+06	4.88644e+06	4.332e+06
P60842	P60842	IF4A1_HUMAN	EIF4A1	Eukaryotic initiation factor 4A-I	254721	238941	227117	258078	225450	255922
P60866	P60866	RS20_HUMAN	RPS20	40S ribosomal protein S20	1.78755e+06	1.83271e+06	1.82837e+06	2.22748e+06	2.06205e+06	1.93052e+06
P60891	P21108;P60891;P11908	PRPS1_HUMAN	PRPS1	Ribose-phosphate pyrophosphokinase 1	888913	882806	842414	846103	929456	923562
P60900	P60900	PSA6_HUMAN	PSMA6	Proteasome subunit alpha type-6	316030	335638	347922	357613	338472	400276
P60903	P60903	S10AA_HUMAN	S100A10	Protein S100-A10	2.40391e+06	2.27623e+06	2.87478e+06	2.81118e+06	2.71869e+06	2.86789e+06
P60953	P60953	CDC42_HUMAN	CDC42	Cell division control protein 42 homolog	117144	125256	99786.6	75317.9	85181.5	87047.3
P60981	P60981	DEST_HUMAN	DSTN	Destrin	287592	298712	303199	327551	350015	335132
P61009	P61009	SPCS3_HUMAN	SPCS3	Signal peptidase complex subunit 3	29647.2	23369.7	26813	17043.1		29936.5
P61019	P61019	RAB2A_HUMAN	RAB2A	Ras-related protein Rab-2A	269151	239212	245867	198778	217704	227803
P61020	P61020	RAB5B_HUMAN	RAB5B	Ras-related protein Rab-5B	35877.1	33340.7	28801.8	25953.7	25964.2	27216.9
P61026	P61026	RAB10_HUMAN	RAB10	Ras-related protein Rab-10	46835.5	48076.9	65754.4	11060.6	36454.9	43234.8
P61106	P61106	RAB14_HUMAN	RAB14	Ras-related protein Rab-14	23657.6	25406.9	18196.6	32609.1	38136.5	27566.6
P61158	P61158	ARP3_HUMAN	ACTR3	Actin-related protein 3	135830	128783	130713	127600	134826	141876
P61160	P61160	ARP2_HUMAN	ACTR2	Actin-related protein 2	275823	284552	283732	276735	282902	321766
P61163	P61163	ACTZ_HUMAN	ACTR1A	Alpha-centractin	187830	236994	241068	180109	170324	168933
P61201	P61201	CSN2_HUMAN	COPS2	COP9 signalosome complex subunit 2	81723.9	118539	117856	108898	124397	118807
P61204;P84077	P84077;P61204	ARF1_HUMAN;ARF3_HUMAN	ARF1;ARF3	ADP-ribosylation factor 3	159462	186910	175609	177550	203812	153577
P61218	P61218	RPAB2_HUMAN	POLR2F	DNA-directed RNA polymerases I, II, and III subunit RPABC2	157802	129014	152465	156644	131602	118114
P61244	P61244	MAX_HUMAN	MAX	Protein max	225239	228934	217345	194555	243796	201244
P61247	P61247	RS3A_HUMAN	RPS3A	40S ribosomal protein S3a	1.43754e+06	1.39451e+06	1.46176e+06	1.15846e+06	1.13693e+06	1.14512e+06
P61254	Q9UNX3;P61254	RL26_HUMAN	RPL26	60S ribosomal protein L26	3.31305e+06	3.49553e+06	3.19618e+06	2.66162e+06	2.76668e+06	2.79411e+06
P61289	P61289	PSME3_HUMAN	PSME3	Proteasome activator complex subunit 3	153077	170894	137739	175924	152472	187045
P61313	P61313	RL15_HUMAN	RPL15	60S ribosomal protein L15	475660	625181	510723	638463	585828	549856
P61353	P61353	RL27_HUMAN	RPL27	60S ribosomal protein L27	699582	717408	661992	626678	580194	647910
P61421	P61421	VA0D1_HUMAN	ATP6V0D1	V-type proton ATPase subunit d 1	89594.3	145667	84893.3	87188.8	97521.9	119148
P61457	P61457	PHS_HUMAN	PCBD1	Pterin-4-alpha-carbinolamine dehydratase	581825	687420	410203	558952	598756	531867
P61513	A6NKH3;P61513	RL37A_HUMAN	RPL37A	60S ribosomal protein L37a	133561	146907	114346	141975	135188	144986
